character,unicode_category,total_frequency_all_time
ब,Lo,14667126
ą,Ll,14487002
щ,Ll,14387809
ग,Lo,14222717
ḥ,Ll,14196016
Ω,Lu,14194253
่,Mn,14049906
ƒ,Ll,13812092
כ,Lo,13619484
ư,Ll,13527993
ล,Lo,13509181
ח,Lo,13405776
Д,Lu,13312853
🚀,So,13231225
我,Lo,13216195
い,Lo,13191867
不,Lo,13158808
Ž,Lu,12960135
日,Lo,12857920
ή,Ll,12732361
ż,Ll,12667576
،,Po,12612222
ť,Ll,12589463
ط,Lo,12541617
¤,Sc,12509217
э,Ll,12402987
😂,So,12286966
▼,So,12248218
ง,Lo,12190187
ै,Mn,11851474
ก,Lo,11850981
文,Lo,11826931
ệ,Ll,11772474
사,Lo,11650675
̊,Mn,11559962
和,Lo,11538380
지,Lo,11535649
🔥,So,11531906
Č,Lu,11448481
Е,Lu,11441136
̧,Mn,11418153
ế,Ll,11305326
다,Lo,11293233
ˆ,Lm,11286313
ม,Lo,11282003
श,Lo,11261784
年,Lo,11217346
ス,Lo,11216960
া,Mc,11134492
њ,Ll,11048368
ạ,Ll,10723519
ќ,Ll,10659377
し,Lo,10655740
ɪ,Ll,10636905
ק,Lo,10610027
บ,Lo,10546627
上,Lo,10484683
Ś,Lu,10465433
ʼ,Lm,10452691
了,Lo,10428334
😊,So,10421094
ύ,Ll,10416340
ट,Lo,10296038
█,So,10268846
ֹ,Mn,10246204
च,Lo,10217681
▶,So,10192160
้,Mn,10183335
ั,Mn,10163703
ҽ,Ll,10090101
ἐ,Ll,10050217
إ,Lo,10037665
ส,Lo,10035981
イ,Lo,10022996
♪,So,9949521
Б,Lu,9877634
に,Lo,9855873
Æ,Lu,9770638
←,Sm,9758025
ト,Lo,9756711
ย,Lo,9739181
ṛ,Ll,9684811
Î,Lu,9674421
⠀,So,9645827
ル,Lo,9625018
ว,Lo,9611815
用,Lo,9597863
Í,Lu,9500891
ė,Ll,9456801
ֶ,Mn,9427635
本,Lo,9420053
以,Lo,9363242
Α,Lu,9358377
פ,Lo,9332291
国,Lo,9272767
Đ,Lu,9267280
ท,Lo,9264890
þ,Ll,9175412
भ,Lo,9027006
ذ,Lo,9020617
る,Lo,9009895
ן,Lo,8971106
У,Lu,8913938
ὶ,Ll,8891840
∼,Sm,8888644
ี,Mn,8829117
↓,Sm,8805040
ต,Lo,8742936
⇒,Sm,8702411
生,Lo,8620898
👉,So,8615985
た,Lo,8518705
ض,Lo,8491823
ด,Lo,8486988
ď,Ll,8486274
ș,Ll,8468677
す,Lo,8448637
Ş,Lu,8395649
ค,Lo,8366655
ṭ,Ll,8325549
‡,Po,8261906
で,Lo,8245201
な,Lo,8208541
学,Lo,8183565
।,Po,8176012
트,Lo,8131913
作,Lo,8104048
ả,Ll,8091361
と,Lo,8074716
̶,Mn,8049882
ᴏ,Ll,8010376
র,Lo,7980680
♡,So,7977883
अ,Lo,7952345
گ,Lo,7946816
ֵ,Mn,7940131
Ē,Lu,7936244
Σ,Lu,7906153
ː,Lm,7842306
ま,Lo,7835572
◆,So,7761909
ラ,Lo,7758184
▲,So,7730451
新,Lo,7712147
ड,Lo,7651165
‟,Pi,7638608
À,Lu,7635736
ッ,Lo,7633025
を,Lo,7600985
ʿ,Lm,7589569
て,Lo,7578033
👍,So,7549836
